Template_ID,Template_Name,Category,Content_Angle,Best_Platform,Use_Count,Win_Rate,Shot_Type,Subject,Action,Style,Camera_Movement,Audio_Cues,Negative_Prompts,Recommended_Seed_Range,Best_Performing_Seed,Notes,Example_JSON
TPL-001,Emotional Comeback Close-Up,Football,Legendary Moments,TikTok,12,75%,Close-up,Named player,Scoring emotional winner,Handheld cinematic,Zoom into celebration,Stadium roar + commentator peak,--no watermark --no warped face,1000-1005,1001,Winning formula from Raul comeback,"{\"shot_type\":\"Close-up\",\"subject\":\"Named player\",\"action\":\"Scoring emotional winner\",\"style\":\"Handheld cinematic\",\"camera\":\"Zoom into celebration\",\"audio\":\"Stadium roar + commentator peak\"}"
TPL-002,Stock Announcement Montage,Football,Transfer/Announcement,TikTok,8,50%,Stock montage,Club stadium/brand,Text reveal overlay,Fast kinetic cuts,Static + text fly-ins,Music swell + SFX,--no text artifacts,2000-2005,2002,Best for quick-turn ship-fast content,"{\"shot_type\":\"Stock montage\",\"subject\":\"Club stadium/brand\",\"action\":\"Text reveal overlay\",\"style\":\"Fast kinetic cuts\",\"camera\":\"Static + text fly-ins\",\"audio\":\"Music swell + SFX\"}"
TPL-003,Injury Trauma Slow-Mo,Football,Skull/Injury Arc,Instagram,6,83%,Slow-motion to freeze-frame,Two players,Impact moment + aftermath,Desaturated dramatic,Push-in to black,Heartbeat + silence + gasp,--no distorted hands,3000-3005,3003,High retention; use sparingly,"{\"shot_type\":\"Slow-motion to freeze-frame\",\"subject\":\"Two players\",\"action\":\"Impact moment + aftermath\",\"style\":\"Desaturated dramatic\",\"camera\":\"Push-in to black\",\"audio\":\"Heartbeat + silence + gasp\"}"
TPL-004,News-Break Kinetic Type,Football,Transfer Rumor,TikTok,15,40%,Text reveal graphics,Headline graphic,Confirmation burst,Kinetic typography,Text shake + particles,Alert sound + ding,--no text artifacts,4000-4010,4006,Lower win rate but high volume,"{\"shot_type\":\"Text reveal graphics\",\"subject\":\"Headline graphic\",\"action\":\"Confirmation burst\",\"style\":\"Kinetic typography\",\"camera\":\"Text shake + particles\",\"audio\":\"Alert sound + ding\"}"
TPL-005,Documentary Reaction Split,Football,Emotional Fan Reaction,TikTok/IG,9,67%,Reaction compilation,Supporters,Emotional reactions,Authentic documentary,Handheld + phone inserts,Raw ambient audio,--no watermark,5000-5005,5001,Great for community building,"{\"shot_type\":\"Reaction compilation\",\"subject\":\"Supporters\",\"action\":\"Emotional reactions\",\"style\":\"Authentic documentary\",\"camera\":\"Handheld + phone inserts\",\"audio\":\"Raw ambient audio\"}"
TPL-006,Aerial Stadium Epic,Football,Impossible Stadiums,YouTube Shorts,5,80%,Aerial drone,Stadium,Time-lapse / transformation,Magical golden realism,Orbit + rise,Orchestral + commentary,--no distorted hands,6000-6005,6002,Expensive stock but high watch time,"{\"shot_type\":\"Aerial drone\",\"subject\":\"Stadium\",\"action\":\"Time-lapse / transformation\",\"style\":\"Magical golden realism\",\"camera\":\"Orbit + rise\",\"audio\":\"Orchestral + commentary\"}"
TPL-007,Rapid Goal Montage,Football,Legendary Moments,TikTok,10,60%,Rapid montage cuts,Player across seasons,Scoring goals,High-energy nostalgic,Quick zooms + match cuts,Build-up music + chant loop,--no blurry edges,7000-7005,7001,Use for recap/reel content,"{\"shot_type\":\"Rapid montage cuts\",\"subject\":\"Player across seasons\",\"action\":\"Scoring goals\",\"style\":\"High-energy nostalgic\",\"camera\":\"Quick zooms + match cuts\",\"audio\":\"Build-up music + chant loop\"}"
TPL-008,Intimate Reveal Close-Up,Football,Shirt/Number Reveal,TikTok,7,71%,Close-up to reveal,Player hands/upper body,Receiving object,Intimate shallow DOF,Rack focus,Soft piano + texture sound,--no blurry edges,8000-8005,8001,Works for any trophy/shirt moment,"{\"shot_type\":\"Close-up to reveal\",\"subject\":\"Player hands/upper body\",\"action\":\"Receiving object\",\"style\":\"Intimate shallow DOF\",\"camera\":\"Rack focus\",\"audio\":\"Soft piano + texture sound\"}"
TPL-009,Track Walk National Pride,Football,World Cup/International,Instagram,4,90%,Tracking shot,National team,Pre-match walk,Epic national lighting,Steadicam follow,Anthem drums + crowd,--no warped face,9000-9005,9001,Highest win rate - replicate,"{\"shot_type\":\"Tracking shot\",\"subject\":\"National team\",\"action\":\"Pre-match walk\",\"style\":\"Epic national lighting\",\"camera\":\"Steadicam follow\",\"audio\":\"Anthem drums + crowd\"}"
TPL-010,Alternate History Wide,Football,Alternate History,YouTube Shorts,3,33%,Wide to medium,Stadium/event,Imagined celebration,Fantastical light,Drone sweep down,Orchestral + chant,--no watermark,1100-1110,1104,Experimental - low win rate but unique,"{\"shot_type\":\"Wide to medium\",\"subject\":\"Stadium/event\",\"action\":\"Imagined celebration\",\"style\":\"Fantastical light\",\"camera\":\"Drone sweep down\",\"audio\":\"Orchestral + chant\"}"
