Content_ID,Week,Platform,Concept_Angle,Template_Used,Views_24h,Views_48h,Views_7d,Watch_Time_Avg_Sec,Completion_Rate,Engagement_Rate,CTR_Shares,CTR_Saves,CTR_Comments,CTR_Likes,Share_Rate,Save_Rate,Follower_Growth_7d,Algorithm_Bucket,Retention_Graph_Pattern,Winning_Formula_Score,Reused_Next_Week,Production_Hours,Cost_Stock,Cost_Audio,Total_Cost,ROE_Score,Notes
WWC001,2026-W25,TikTok,Legendary Moments,TPL-001,45000,120000,340000,16.2,87%,8.4%,2.1%,0.8%,1.4%,4.1%,3.5%,1.2%,+850,Following/For You,Sharp 3s spike then flat -- strong hook weak second half,78,Yes,3.5,0,0,0,High,Add stronger second act beat at 8s
WWC002,2026-W25,TikTok,Transfer Announcement,TPL-002,120000,280000,890000,19.8,92%,12.1%,3.2%,1.1%,2.4%,5.4%,5.1%,2.3%,+2100,For You viral,Strong 3s spike + 12s second spike -- dual hook,94,Yes,2.0,0,0,0,Very High,Winning formula - replicate structure
WWC003,2026-W25,Instagram,Skull Injury Arc,TPL-003,28000,67000,156000,24.5,82%,6.7%,1.4%,0.9%,0.8%,3.6%,2.1%,0.7%,+340,Explore/Reels,Linear drop-off -- no second spike,65,No,4.0,0,0,0,Medium,Too long for IG; trim to 18s next test
WWC004,2026-W25,YouTube Shorts,Alternate History,TPL-010,8500,21000,54000,38.2,71%,4.2%,0.8%,0.5%,0.6%,2.3%,1.1%,0.4%,+120,Shorts feed,Gradual decline -- needs faster cuts,42,No,5.5,35,0,35,Low,Stock purchase not worth it; retire template
WWC005,2026-W25,TikTok,Legendary Moments,TPL-007,89000,195000,520000,27.1,78%,7.3%,1.9%,0.7%,1.1%,3.6%,3.2%,0.9%,+620,For You,Multiple micro-spikes at goal moments -- montage working,71,Yes,3.0,0,0,0,High,Good retention; test with 15% faster cuts
WWC006,2026-W25,TikTok,Transfer Rumor,TPL-004,34000,78000,198000,11.2,68%,3.1%,0.5%,0.2%,0.4%,2.0%,0.9%,0.3%,+95,Following,Sharp drop after 3s -- hook weak or misleading,31,No,1.5,0,0,0,Low,Retire this hook style; misleading retention
WWC007,2026-W25,Instagram,World Cup Reactive,TPL-009,67000,145000,410000,21.3,89%,10.2%,2.8%,1.3%,1.9%,4.2%,4.5%,1.8%,+1340,For You/Explore,Perfect 3s + 9s + 15s triple spike,91,Yes,3.0,0,0,0,Very High,Highest win rate template - use for all national pride content
WWC008,2026-W25,YouTube Shorts,Impossible Stadiums,TPL-006,15000,38000,98000,33.4,75%,5.1%,1.1%,0.8%,0.7%,2.5%,1.8%,0.6%,+210,Shorts feed,Early plateau then late drop -- watch time strong but hook slow,58,No,4.5,45,0,45,Medium,Trim first 5s; stock footage too slow
WWC009,2026-W25,TikTok,Emotional Fan Reaction,TPL-005,56000,132000,375000,17.8,85%,9.3%,2.4%,0.9%,1.7%,4.3%,3.8%,1.1%,+780,For You,Steady with 6s and 14s engagement peaks -- UGC feel works,83,Yes,2.5,0,0,0,High,Add more phone screen inserts; increase authenticity
WWC010,2026-W25,TikTok,Shirt Gesture,TPL-008,78000,168000,445000,14.5,91%,11.5%,3.1%,1.4%,2.1%,4.9%,4.2%,1.9%,+1560,For You viral,Strong 3s + 8s reveal spike + 12s emotional linger,89,Yes,2.5,0,12,12,Very High,License piano track; currently safe but flag for copyright
