Content_ID,Week,Status,Content_Angle,Concept_Title,Platform,Target_Duration,Hook_Text,Shot_Type,Subject,Action,Style,Camera_Movement,Audio_Cues,Negative_Prompts,Seed_Number,Variation_Number,JSON_Prompt_Template,Footage_Assets,Footage_Type_MP4_or_Page,Gap_Coverage_Method,Publish_Date,Views,Watch_Time_Avg,Engagement_Rate,CTR,Winning_Formula,Reused_From,Notes,Historical_ROE,Template_Name_Lookup,Auto_Flag
WWC001,2026-W25,Research,Legendary Moments,Raul Jimenez Comeback Goal - TikTok,TikTok,18s,Grown men cried at a tweet this week. Here's why.,Close-up,Raul Jimenez,Scoring comeback winner,Emotional cinematic handheld,Zoom into celebration roar,Stadium crowd roar + commentator peak,--no watermark --no warped face,1001,1,[CLOSE-UP] + [Raul Jimenez] + [Scoring comeback winner] + [Emotional cinematic handheld] + [Zoom into celebration roar] + [Stadium crowd roar + commentator peak],#5 Comeback-goal short,Page Link,N/A (direct),2026-06-15,0,0,0,0,No,,Seeds 1000-1010 tested,No metrics yet,No template,PENDING
WWC002,2026-W25,Generating,Emotional Fan Reaction,Raul Jimenez Announcement Reaction - TikTok,TikTok,22s,Some transfers are business. This one's a love story.,Stock montage,Wolves stadium,Announcement reveal text overlay,Gold-black aesthetic fast cuts,Static + text fly-ins,Emotional music swell + typing SFX,--no text artifacts --no blurry edges,1002,1,[STOCK MONTAGE] + [Wolves stadium] + [Announcement reveal text overlay] + [Gold-black aesthetic fast cuts] + [Static + text fly-ins] + [Emotional music swell + typing SFX],#6 Announcement reaction,Stock (direct MP4),N/A,2026-06-16,0,0,0,0,No,,Ship fast - no real footage needed,No metrics yet,No template,PENDING
WWC003,2026-W25,Generating,Skull Injury Arc,Raul Jimenez Injury to Recovery - IG,Instagram,28s,They said he might never play again. They were wrong.,Slow-motion to freeze-frame,Raul Jimenez + David Luiz,Clash of heads + oxygen/stretcher,Dramatic desaturated,Push-in to black,Heartbeat + silence + single crowd gasp,--no distorted hands --no floating limbs,1003,2,[SLOW-MOTION TO FREEZE-FRAME] + [Raul Jimenez + David Luiz] + [Clash of heads + oxygen/stretcher] + [Dramatic desaturated] + [Push-in to black] + [Heartbeat + silence + single crowd gasp],#2 Skull-injury arc,Page Link,Stills + narration: hospital corridor X-ray silhouette,2026-06-17,0,0,0,0,No,,Needs BBC footage extraction,No metrics yet,No template,PENDING
WWC004,2026-W25,Generating,Alternate History,What If Raul Never Left Wolves - YT Short,YouTube Shorts,45s,The 150th year. The 57 goals. The one that got away.,Wide to medium,Wolves 150th anniversary stadium,Imagined victory celebration,Fantastical golden light,Aerial drone sweep down,"Triumphant orchestral + ""Si Señor"" chant",--no watermark --no warped face,1004,3,[WIDE TO MEDIUM] + [Wolves 150th anniversary stadium] + [Imagined victory celebration] + [Fantastical golden light] + [Aerial drone sweep down] + [Triumphant orchestral + Si Señor chant],DOC Act 5 (Homecoming),Stock + Page Link,Stills: Molineux night aerial,2026-06-18,0,0,0,0,No,,Test 3 seeds,No metrics yet,No template,PENDING
WWC005,2026-W25,Generating,Player Evolution,Raul Jimenez Every Goal Montage - TikTok,TikTok,30s,57 goals. One man. One song. Si Señor.,Rapid montage cuts,Raul Jimenez across seasons,Scoring 57 goals,High-energy nostalgic,Quick zooms + match cuts,Build-up music + crowd chant loop,--no blurry edges,1005,1,[RAPID MONTAGE CUTS] + [Raul Jimenez across seasons] + [Scoring 57 goals] + [High-energy nostalgic] + [Quick zooms + match cuts] + [Build-up music + crowd chant loop],#3 57-goals reel,Page Link (YouTube),N/A,2026-06-19,0,0,0,0,No,,Needs yt-dlp extraction,No metrics yet,No template,PENDING
WWC006,2026-W25,Testing,Transfer Rumor,Raul Jimenez Wolves Return Rumor - TikTok,TikTok,15s,He's 35. He's in the Championship. And he's BACK.,Text reveal with motion graphics,Transfer headline graphic,Signing confirmation burst,News-break kinetic typography,Text shake + particle burst,News alert sound + notification ding,--no text artifacts,1006,1,[TEXT REVEAL WITH MOTION GRAPHICS] + [Transfer headline graphic] + [Signing confirmation burst] + [News-break kinetic typography] + [Text shake + particle burst] + [News alert sound + notification ding],#7 Debate,Page Link,Stock keywords: breaking news alert graphic,2026-06-20,0,0,0,0,No,,Test 2 audio variations,No metrics yet,No template,PENDING
WWC007,2026-W25,Selected,Legendary Moments,Raul Jimenez 2026 World Cup Mexico - IG,Instagram,24s,One last dance. On home soil. For El Tri.,Tracking shot,Mexico national team,Pre-match tunnel walk,Epic national pride lighting,Steadicam follow,Anthem drums + crowd vuvuzela,--no warped face,1007,1,[TRACKING SHOT] + [Mexico national team] + [Pre-match tunnel walk] + [Epic national pride lighting] + [Steadicam follow] + [Anthem drums + crowd vuvuzela],#8 WC reactive,Page Link,Stock: Mexico World Cup 2026 training camp,2026-06-21,0,0,0,0,Yes,WWC001,Winning formula from WWC001 reused,No metrics yet,No template,PENDING
WWC008,2026-W25,Scheduled,Impossible Stadiums,Molineux 150th Anniversary Dream - YT Short,YouTube Shorts,35s,What 150 years of Wolves looks like at midnight.,Aerial + drone,Wolves stadium,Time-lapse transformation,Golden magical realism,Orbit + rise,Atmospheric synth + historical radio commentary,--no distorted hands,1008,1,[AERIAL + DRONE] + [Wolves stadium] + [Time-lapse transformation] + [Golden magical realism] + [Orbit + rise] + [Atmospheric synth + historical radio commentary],DOC Act 5,Stock (direct MP4),Stock: Molineux stadium night aerial gold lights,2026-06-22,0,0,0,0,No,,Purchase stock before Thursday,No metrics yet,No template,PENDING
WWC009,2026-W25,Research,Emotional Fan Reaction,Fans React to Raul Return - TikTok,TikTok,20s,Wolves fans -- where were you when you saw the announcement?,Reaction compilation,Wolves supporters,Emotional reactions split-screen,Authentic documentary,Handheld + phone screen inserts,Raw audio + ambient pub noise,--no watermark,1009,1,[REACTION COMPILATION] + [Wolves supporters] + [Emotional reactions split-screen] + [Authentic documentary] + [Handheld + phone screen inserts] + [Raw audio + ambient pub noise],#6 Announcement reaction,Page Link (TikTok),N/A,2026-06-23,0,0,0,0,No,,User-generated content request,No metrics yet,No template,PENDING
WWC010,2026-W25,Finalized,Shirt Gesture,Raul Jimenez Number 9 Return - TikTok,TikTok,16s,He didn't ask for it. He just knew it was his.,Close-up to reveal,Waul Jimenez hands,Receiving number 9 shirt,Intimate shallow depth of field,Rack focus to shirt,Soft emotional piano + fabric rustle,--no blurry edges,1010,1,[CLOSE-UP TO REVEAL] + [Raul Jimenez hands] + [Receiving number 9 shirt] + [Intimate shallow depth of field] + [Rack focus to shirt] + [Soft emotional piano + fabric rustle],#1 Shirt gesture,Photo/Still,Stills: shirt handover ceremony press photo,2026-06-24,0,0,0,0,No,,Adam Armstrong vacates #9 angle,No metrics yet,No template,PENDING
